"","Año","Q","K","L"
"1",1922,22,26,41
"2",1923,24,28,45
"3",1924,28,32,50
"4",1925,28,32,51
"5",1926,31,36,54
"6",1927,32,38,55
"7",1928,34,39,57
"8",1929,38,45,61
"9",1930,39,46,61
"10",1931,37,42,55
"11",1932,34,39,51
"12",1933,35,41,51
"13",1934,42,51,59
"14",1935,47,59,65
"15",1936,51,65,69
"16",1937,57,74,75
"17",1938,58,73,76
"18",1939,63,81,79
"19",1940,NA,NA,NA
"20",1941,NA,NA,NA
"21",1942,NA,NA,NA
"22",1943,NA,NA,NA
"23",1944,NA,NA,NA
"24",1945,NA,NA,NA
"25",1946,NA,NA,NA
"26",1947,80,89,95
"27",1948,86,94,98
"28",1949,89,99,98
"29",1950,93,103,99
"30",1951,97,111,100
"31",1952,95,101,99
"32",1953,96,100,96
"33",1954,100,100,100
"34",1955,106,106,103
"35",1956,109,108,103
"36",1957,113,114,103
"37",1958,115,120,101
"38",1959,122,129,100
"39",1960,134,144,105
"40",1961,145,155,109
"41",1962,153,165,109
"42",1963,163,178,109
"43",1964,179,197,113
